İlçe,Tarih,PM10 (µg/m3),PM2.5 (µg/m3),SO2 (µg/m3),CO (µg/m3),NO2 (µg/m3),NOX (µg/m3),NO (µg/m3),O3 (µg/m3),Maks_Sıcaklik_C,Toplam_Yağış_mm,Maks_Rüzgar_Hızı_kmh,average_traffic_index,Ay,Durum,Sağlık_Risk_Durumu
Arnavutköy,08.01.2019,328.22,58.46,4.36,97.44,8.47,13.66,2.16,53.69,0.8,1.7,29.3,28.80208333333333,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,09.01.2019,310.96,58.45,4.66,,20.91,24.68,2.44,,5.6,0.8,25.3,26.884615384615383,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,10.01.2019,284.83,58.43,4.75,,10.93,14.95,2.19,,11.9,1.2,32.8,28.163763066202087,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,11.01.2019,238.9,58.28,4.99,230.4,10.07,17.23,4.67,56.34,10.8,19.6,31.6,36.73867595818815,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,12.01.2019,182.01,58.26,5.89,286.65,9.71,17.84,5.27,51.53,4.3,10.0,18.8,28.32982456140351,1,Hafta Sonu,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,13.01.2019,174.39,58.22,4.22,421.89,13.33,20.65,4.8,56.15,3.8,0.2,20.6,12.264808362369338,1,Hafta Sonu,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,14.01.2019,171.2,58.2,7.8,565.02,37.86,49.03,7.26,26.06,8.1,0.0,22.5,21.38888888888889,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,15.01.2019,167.51,58.18,4.14,227.1,16.53,26.84,6.69,45.13,4.8,6.6,35.1,34.02797202797203,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,16.01.2019,166.62,58.07,3.42,165.77,20.57,26.47,3.82,42.04,4.1,0.0,33.2,26.007017543859646,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,17.01.2019,165.14,57.97,7.18,96.8,36.8,50.52,8.92,31.92,9.0,0.0,14.3,26.933797909407662,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,18.01.2019,162.08,57.92,7.57,79.89,41.02,53.19,7.92,29.21,10.1,0.0,16.9,27.118466898954704,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,19.01.2019,154.1,57.88,5.12,62.78,20.03,27.39,4.79,52.29,12.2,0.3,14.0,22.472027972027966,1,Hafta Sonu,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,20.01.2019,153.98,57.87,5.55,73.9,33.58,52.23,12.11,29.82,11.9,0.7,14.9,17.996503496503497,1,Hafta Sonu,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,21.01.2019,151.98,57.81,2.96,60.79,23.89,32.73,5.71,35.32,9.1,2.2,18.7,26.979166666666664,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,22.01.2019,147.82,57.8,2.93,51.07,18.68,27.38,5.63,45.53,8.2,0.0,17.7,26.076655052264808,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,23.01.2019,146.92,57.71,5.35,77.63,39.43,62.97,15.3,27.96,11.9,7.1,21.9,32.811188811188806,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,24.01.2019,146.38,57.69,4.46,62.23,39.66,51.05,7.4,27.19,12.6,2.2,21.0,13.045454545454543,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,25.01.2019,146.25,57.65,4.65,64.32,41.3,65.75,15.9,23.03,14.9,0.2,19.9,30.414634146341463,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,26.01.2019,145.98,57.64,4.39,63.01,32.82,48.24,10.01,31.46,14.0,0.6,19.9,24.57839721254356,1,Hafta Sonu,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,27.01.2019,144.15,57.58,2.1,70.91,11.97,20.18,5.3,32.97,6.8,2.1,21.1,20.003472222222225,1,Hafta Sonu,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,28.01.2019,142.81,57.51,3.49,78.56,35.65,51.77,10.47,18.58,11.4,0.0,19.2,24.758741258741257,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,29.01.2019,142.15,57.5,4.83,83.32,37.49,52.54,9.78,42.02,14.4,0.3,18.0,27.574912891986063,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,30.01.2019,141.74,57.48,5.78,86.09,47.63,64.1,10.7,28.44,15.2,0.0,15.7,27.133333333333333,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,31.01.2019,140.07,57.43,2.91,59.5,18.13,22.33,2.73,61.07,13.6,7.8,20.0,34.25524475524475,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,01.02.2019,140.0,57.38,2.7,56.15,12.56,15.63,1.95,61.6,11.6,3.4,22.7,32.99305555555556,2,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,02.02.2019,138.85,57.23,4.49,65.35,30.15,34.78,2.99,44.57,13.7,0.0,19.0,24.24041811846689,2,Hafta Sonu,Çok Yüksek Risk (Tehlikeli)
